Table 6: Multidimensional Poverty Index: developing countries,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Multidimensional Poverty Index,,,a,Population in multidimensional poverty,,,,,a,Population near multidimensional poverty,a,Population in severe multidimensional poverty ,a,Contribution of deprivation in dimension to overall poverty,,,,,a,"Population living below income poverty line
(%)",,,
Philippines,2013D,,0.033,"d,j",6.3,"d,j","6,169","d,j",51.9,"d,j",8.4,"d,j",4.2,"d,j",35.3,"d,j",30.2,"d,j",34.5,"d,j",25.2,,13.1,
Rwanda,2014/2015D,,0.253,,53.9,,"6,263",,47.0,,25.0,,20.5,,28.6,,18.4,,53.0,,44.9,,60.4,
Saint Lucia,2012M,,0.003,f,0.8,f,2,f,34.5,f,0.9,f,0.0,f,15.8,f,65.2,f,19.0,f,..,,..,
Sao Tome and Principe,2008/2009D,,0.217,,47.5,,79,,45.5,,21.5,,16.4,,29.1,,26.5,,44.4,,61.7,,32.3,
Senegal,2014D,,0.278,,51.9,,"7,621",,53.5,,18.1,,30.8,,43.6,,23.1,,33.4,,46.7,,38.0,
Serbia,2014M,,0.002,,0.4,,38,,40.6,,2.7,,0.1,,30.7,,40.7,,28.7,,25.4,,0.2,
Sierra Leone,2013D,,0.411,,77.5,,"4,791",,53.0,,14.6,,43.9,,25.7,,28.5,,45.9,,52.9,,52.3,
Somalia,2006M,,0.500,,81.8,,"7,104",,61.1,,8.3,,63.6,,33.7,,18.8,,47.5,,..,,..,
South Africa,2012N,,0.041,,10.3,,"5,446",,39.6,,17.1,,1.3,,8.4,,61.4,,30.2,,53.8,,16.6,
South Sudan,2010M,,0.551,,89.3,,"8,980",,61.7,,8.5,,69.6,,39.3,,14.3,,46.3,,50.6,,42.7,
Sudan,2010M,,0.290,,53.1,,"19,161",,54.6,,17.9,,31.9,,30.4,,20.7,,48.9,,46.5,,14.9,
Suriname,2010M,,0.033,f,7.6,f,39,f,43.1,f,4.7,f,2.0,f,31.0,f,37.2,f,31.8,f,..,,..,
Swaziland,2010M,,0.113,,25.9,,309,,43.5,,20.5,,7.4,,13.7,,41.0,,45.3,,63.0,,42.0,
Syrian Arab Republic,2009P,,0.028,,7.2,,"1,485",,39.1,,7.4,,1.3,,54.7,,34.0,,11.3,,35.2,,..,
Tajikistan,2012D,,0.031,,7.9,,623,,39.0,,23.4,,1.2,,13.4,,52.6,,34.0,,31.3,,19.5,
Tanzania (United Republic of),2010D,,0.335,,66.4,,"30,290",,50.4,,21.5,,32.1,,16.9,,28.2,,54.9,,28.2,,46.6,
Thailand,2005/2006M,,0.004,,1.0,,667,,38.8,,4.4,,0.1,,19.4,,51.3,,29.4,,10.5,,0.0,
The former Yugoslav Republic of Macedonia,2011M,,0.007,f,1.7,f,35,f,38.4,f,2.4,f,0.1,f,18.5,f,57.2,f,24.3,f,22.1,,1.3,
Timor-Leste,2009/2010D,,0.322,,64.3,,680,,50.1,,21.4,,31.5,,20.0,,30.4,,49.6,,41.8,,46.8,
Togo,2013/2014D,,0.242,,48.5,,"3,454",,49.9,,19.9,,23.2,,26.4,,28.8,,44.9,,55.1,,54.2,
Trinidad and Tobago,2006M,,0.007,d,1.7,d,23,d,38.0,d,0.5,d,0.2,d,2.2,d,86.1,d,11.7,d,..,,..,
Tunisia,2011/2012M,,0.006,,1.5,,161,,39.3,,3.2,,0.2,,33.7,,48.2,,18.1,,15.5,,2.0,
Turkmenistan,2006M,,0.011,,3.0,,144,,37.0,,6.5,,0.1,,7.4,,82.5,,10.1,,..,,..,
Uganda,2011D,,0.359,,70.3,,"24,088",,51.1,,20.6,,33.3,,18.0,,30.2,,51.9,,19.5,,34.6,
Ukraine,2012M,,0.001,d,0.4,d,161,d,34.5,d,0.0,d,0.0,d,19.0,d,77.5,d,3.5,d,6.4,,0.0,
Uzbekistan,2006M,,0.013,,3.5,,931,,36.6,,6.2,,0.1,,3.7,,83.4,,12.8,,14.1,,..,
Vanuatu,2007M,,0.135,,31.2,,69,,43.1,,32.6,,7.3,,24.4,,24.1,,51.6,,12.7,,15.4,
Viet Nam,2013/2014M,,0.016,d,3.9,d,"3,646",d,39.9,d,4.3,d,0.6,d,39.6,d,24.3,d,36.1,d,13.5,,3.1,
Yemen,2013D,,0.200,,40.0,,"10,204",,50.1,,22.4,,19.4,,29.5,,32.2,,38.2,,34.8,,..,
Zambia,2013/2014D,,0.264,,54.4,,"8,554",,48.6,,23.1,,22.5,,17.9,,29.8,,52.3,,60.5,,64.4,
Zimbabwe,2014M,,0.128,,28.9,,"4,409",,44.1,,29.3,,7.8,,10.8,,34.5,,54.8,,72.3,,21.4,
,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"a. Not all indicators were available for all countries, so caution should be used in cross-country comparisons. Where an indicator is missing, weights of available indicators are adjusted to total 100 percent. See Technical note 5 at http://hdr.undp.org/sites/default/files/hdr2016_technical_notes.pdf for details.",,,,,,,,,,,,,,,,,,,,,,,,
"b. D indicates data from Demographic and Health Surveys, M from Multiple Indicator Cluster Surveys, P from Pan Arab Population and Family Health Survey and N from national surveys (see http://hdr.undp.org/en/faq-page/multidimensional-poverty-index-mpi for the list of national surveys).",,,,,,,,,,,,,,,,,,,,,,,,
c. Data refer to the most recent year available during the period specified.,,,,,,,,,,,,,,,,,,,,,,,,
d. Missing indicators on nutrition.,,,,,,,,,,,,,,,,,,,,,,,,
e. Refers to urban areas only,,,,,,,,,,,,,,,,,,,,,,,,
f. Missing indicator on child mortality.,,,,,,,,,,,,,,,,,,,,,,,,
g. Missing indicator on type of floor.,,,,,,,,,,,,,,,,,,,,,,,,
h. Missing indicator on cooking fuel.,,,,,,,,,,,,,,,,,,,,,,,,
i. Missing indicator on electricity.,,,,,,,,,,,,,,,,,,,,,,,,
j. Missing indicator on school attendance.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,
Multidimensional Poverty Index: Percentage of the population that is multidimensionally poor adjusted by the intensity of the deprivations. See Technical note 5 at http://hdr.undp.org/sites/default/files/hdr2016_technical_notes.pdf for details on how the Multidimensional Poverty Index is calculated.,,,,,,,,,,,,,,,,,,,,,,,,
Multidimensional poverty headcount: Percentage of the population with a deprivation score of at least 33 percent. It is also expressed in thousands of the population in the survey year.,,,,,,,,,,,,,,,,,,,,,,,,
Intensity of deprivation of multidimensional poverty: Average deprivation score experienced by people in multidimensional poverty.,,,,,,,,,,,,,,,,,,,,,,,,
"Population near multidimensional poverty: Percentage of the population at risk of suffering multiple deprivations—that is, those with a deprivation score of 20–33 percent.",,,,,,,,,,,,,,,,,,,,,,,,
"Population in severe multidimensional poverty: Percentage of the population in severe multidimensional poverty—that is, those with a deprivation score of 50 percent or more.",,,,,,,,,,,,,,,,,,,,,,,,
Contribution of deprivation to overall poverty: Percentage of the Multidimensional Poverty Index attributed to deprivations in each dimension.,,,,,,,,,,,,,,,,,,,,,,,,
"Population living below national poverty line: Percentage of the population living below the national poverty line, which is the poverty line deemed appropriate for a country by its authorities. National estimates are based on population-weighted subgroup estimates from household surveys.",,,,,,,,,,,,,,,,,,,,,,,,
Population living below PPP$1.90 a day: Percentage of the population living below the international poverty line $1.90 (in purchasing power parity terms) a day.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Main data sources,,,,,,,,,,,,,,,,,,,,,,,,
Column 1: Refers to the year and the survey whose data were used to calculate the country’s multidimensional poverty index and its components.,,,,,,,,,,,,,,,,,,,,,,,,
"Columns 2-10: HDRO calculations based on data on household deprivations in education, health and living standards from various household surveys listed in column 1 using a revised methodology described in Technical note 5 (available at http://hdr.undp.org/sites/default/files/hdr2016_technical_notes.pdf).",,,,,,,,,,,,,,,,,,,,,,,,
Columns 11 and 12: World Bank (2016a). ,,,,,,,,,,,,,,,,,,,,,,,,
