36,Poland,1.006,,1,,0.857,,0.852,,81.5,,73.6,,17.2,,15.5,,11.9,,12.0,,"18,928",,"29,658",
37,Lithuania,1.032,,2,,0.861,,0.834,,79.1,,67.9,,17.1,,16.0,,12.7,,12.7,,"22,147",,"30,530",
38,Chile,0.966,,2,,0.829,,0.858,,84.7,,79.0,,16.6,,16.1,,9.8,,10.0,,"14,955",,"28,556",
38,Saudi Arabia,0.882,,5,,0.779,,0.884,,75.9,,73.2,,15.3,,17.0,,9.0,,10.0,,"19,300",,"75,923",g
40,Slovakia,0.991,,1,,0.838,,0.846,,80.0,,72.7,,15.5,,14.4,,12.0,,12.3,,"20,173",,"33,770",
41,Portugal,0.980,,1,,0.833,,0.850,,84.0,,78.2,,16.5,,16.6,,8.9,,8.9,,"21,095",,"31,673",
42,United Arab Emirates,0.972,,2,,0.815,,0.838,,78.7,,76.5,,13.9,,12.9,,10.6,e,8.7,e,"27,257",,"80,420",g
43,Hungary,0.988,,1,,0.830,,0.840,,78.8,,71.6,,16.0,,15.2,,12.0,f,12.1,f,"17,787",,"29,567",
44,Latvia,1.025,,2,,0.840,,0.820,,79.0,,69.3,,16.6,,15.5,,12.0,"f,h",11.6,"f,h","18,824",,"27,031",
45,Argentina,0.982,,1,,0.813,,0.828,,80.2,,72.6,,18.4,,16.1,,9.7,h,10.0,h,"12,875",,"29,367",
45,Croatia,0.997,,1,,0.827,,0.830,,80.8,,74.2,,16.0,,14.6,,11.2,,11.6,,"16,932",,"23,897",
47,Bahrain,0.970,,2,,0.806,,0.831,,77.8,,75.9,,15.1,,13.7,,9.4,i,9.4,i,"25,717",,"44,303",
48,Montenegro,0.955,,2,,0.789,,0.827,,78.6,,74.2,,15.7,,15.0,,10.7,j,12.0,j,"11,757",,"19,149",
49,Russian Federation,1.016,,1,,0.809,,0.796,,75.9,,64.6,,15.3,,14.7,,12.0,,12.1,,"17,868",,"29,531",
50,Romania,0.990,,1,,0.796,,0.805,,78.4,,71.3,,15.1,,14.4,,10.3,,11.0,,"16,272",,"22,786",
51,Kuwait,0.972,,2,,0.769,,0.791,,75.9,,73.6,,13.6,,12.4,,7.4,,6.9,,"35,164",,"107,991",g
,HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
52,Belarus,1.021,,1,,0.803,,0.786,,77.3,,65.7,,16.1,,15.1,,11.9,,12.1,,"12,327",,"19,433",
52,Oman,0.927,,3,,0.755,,0.814,,79.4,,75.3,,13.9,,13.6,,7.7,i,8.5,i,"15,703",,"43,894",
54,Barbados,1.006,,1,,0.795,,0.791,,78.1,,73.3,,16.7,,13.9,,10.6,j,10.3,j,"11,801",,"18,377",
54,Uruguay,1.017,,1,,0.799,,0.786,,80.8,,73.7,,16.6,,14.4,,8.8,,8.3,,"14,608",,"24,014",
56,Bulgaria,0.984,,1,,0.789,,0.801,,77.8,,70.9,,15.3,,14.8,,10.8,e,11.2,e,"12,979",,"19,736",
56,Kazakhstan,1.006,,1,,0.795,,0.790,,74.3,,64.8,,15.4,,14.6,,11.7,h,11.7,h,"16,364",,"28,226",
58,Bahamas,..,,..,,..,,..,,78.5,,72.5,,..,,..,,11.5,,10.5,,"18,070",,"25,209",
59,Malaysia,..,,..,,..,,..,,77.3,,72.6,,..,,..,,10.0,,10.8,,"17,170",,"32,208",
60,Palau,..,,..,,..,,..,,..,,..,,17.6,,13.7,,..,,..,,..,,..,
60,Panama,0.997,,1,,0.783,,0.785,,80.9,,74.8,,13.2,,12.4,,10.3,,9.5,,"14,550",,"24,365",
62,Antigua and Barbuda,..,,..,,..,,..,,78.6,,73.7,,14.6,,13.3,,..,,..,,..,,..,
63,Seychelles,..,,..,,..,,..,,78.2,,69.1,,14.8,,13.5,,..,,..,,..,,..,
64,Mauritius,0.954,,2,,0.759,,0.796,,78.2,,71.1,,15.5,,14.8,,8.8,,9.5,,"10,540",,"25,539",
65,Trinidad and Tobago,1.004,,1,,0.786,,0.783,,74.2,,67.1,,14.3,k,12.3,k,10.8,,11.0,,"21,104",,"35,179",
66,Costa Rica,0.969,,2,,0.762,,0.786,,82.1,,77.2,,14.5,,13.8,,8.7,,8.7,,"9,955",,"18,052",
66,Serbia,0.969,,2,,0.763,,0.787,,77.9,,72.2,,14.8,,13.9,,10.3,,11.4,,"9,600",,"14,932",
68,Cuba,0.946,,3,,0.750,,0.792,,81.6,,77.6,,14.4,,13.5,,11.5,i,12.0,i,"5,013",,"9,874",
69,Iran (Islamic Republic of),0.862,,5,,0.700,,0.812,,76.7,,74.5,,14.6,,15.0,,8.5,h,9.1,h,"5,132",,"27,499",
70,Georgia,0.970,,2,,0.754,,0.777,,78.5,,71.3,,14.1,,13.7,,12.3,,12.2,,"6,105",,"11,871",
71,Turkey,0.908,,4,,0.724,,0.797,,78.7,,72.3,,14.0,,15.0,,7.0,,8.8,,"10,648",,"27,035",
71,Venezuela (Bolivarian Republic of),1.028,,2,,0.776,,0.754,,78.6,,70.4,,15.4,,13.2,,9.7,,9.0,,"11,579",,"18,709",
73,Sri Lanka,0.934,,3,,0.734,,0.785,,78.4,,71.7,,14.3,,13.6,,10.3,h,11.4,h,"6,067",,"15,869",
74,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,13.8,,13.5,,..,,..,,..,,..,
75,Albania,0.959,,2,,0.747,,0.778,,80.6,,75.6,,14.4,,14.0,,9.5,,9.8,,"7,365",,"13,186",
76,Lebanon,0.893,,5,,0.709,,0.793,,81.5,,77.9,,13.0,,13.6,,8.3,i,8.7,i,"5,844",,"20,712",
77,Mexico,0.951,,2,,0.737,,0.775,,79.4,,74.6,,13.5,,13.1,,8.2,,8.6,,"10,710",,"22,115",
78,Azerbaijan,0.940,,3,,0.732,,0.779,,74.1,,67.8,,12.6,,12.7,,10.3,,12.0,,"11,029",,"21,845",
79,Brazil,1.005,,1,,0.754,,0.751,,78.5,,71.0,,15.7,,14.7,,8.1,,7.5,,"10,672",,"17,736",
79,Grenada,..,,..,,..,,..,,76.0,,71.1,,16.2,,15.3,,..,,..,,..,,..,
81,Bosnia and Herzegovina,0.923,,4,,0.721,,0.781,,79.2,,74.1,,14.8,,14.0,,7.8,,10.6,,"6,950",,"13,261",
82,The former Yugoslav Republic of Macedonia,0.947,,3,,0.725,,0.765,,77.9,,73.2,,13.0,,12.8,,8.9,j,9.8,j,"9,050",,"15,790",
83,Algeria,0.854,,5,,0.665,,0.779,,77.5,,72.7,,14.6,,14.1,,6.6,e,8.5,e,"4,022",,"22,926",
84,Armenia,0.993,,1,,0.736,,0.741,,78.7,,71.1,,13.8,,11.4,,11.3,,11.3,,"5,535",,"11,258",
84,Ukraine,1.000,,1,,0.741,,0.741,,76.0,,66.2,,15.5,,15.1,,11.3,h,11.3,h,"5,791",,"9,181",
86,Jordan,0.864,,5,,0.670,,0.776,,75.9,,72.6,,13.4,,12.9,,9.7,,10.7,,"3,203",,"16,694",
87,Peru,0.959,,2,,0.723,,0.754,,77.5,,72.2,,13.5,,13.2,,8.4,,9.5,,"8,939",,"13,655",
87,Thailand,1.001,,1,,0.740,,0.739,,78.0,,71.3,,14.1,,13.1,,7.7,,8.2,,"12,938",,"16,145",
89,Ecuador,0.976,,1,,0.730,,0.748,,78.9,,73.4,,14.4,,13.9,,8.2,,8.4,,"8,278",,"12,795",
90,China,0.954,,2,,0.718,,0.753,,77.5,,74.5,,13.7,,13.4,,7.2,e,7.9,e,"10,705",,"15,830",
91,Fiji,..,,..,,..,,..,,73.4,,67.3,,..,,..,,10.9,h,10.2,h,"4,695",,"11,676",
92,Mongolia,1.026,,2,,0.744,,0.725,,74.2,,65.6,,15.5,,14.2,,10.0,i,9.5,i,"8,809",,"12,122",
92,Saint Lucia,0.986,,1,,0.729,,0.740,,78.0,,72.5,,13.4,,12.9,,9.4,i,9.3,i,"8,033",,"11,617",
94,Jamaica,0.975,,2,,0.719,,0.738,,78.2,,73.5,,13.1,,12.6,,9.7,h,9.6,h,"6,628",,"10,086",
95,Colombia,1.004,,1,,0.731,,0.728,,77.8,,70.7,,14.5,,13.3,,7.6,e,7.5,e,"10,215",,"15,389",
96,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
97,Suriname,0.972,,2,,0.709,,0.730,,74.6,,68.2,,13.0,,12.0,,8.2,i,8.5,i,"10,501",,"21,512",
97,Tunisia,0.904,,4,,0.680,,0.752,,77.4,,72.7,,15.1,,14.2,,6.7,e,7.8,e,"4,662",,"15,967",
99,Dominican Republic,0.990,,1,,0.717,,0.724,,76.9,,70.6,,13.7,,12.7,,7.9,,7.5,,"9,281",,"16,256",
99,Saint Vincent and the Grenadines,..,,..,,..,,..,,75.2,,71.0,,13.5,i,13.1,i,..,,..,,"7,600",,"13,095",
101,Tonga,0.969,,2,,0.707,,0.730,,76.0,,70.1,,14.6,,14.0,,11.0,,11.1,,"3,959",,"6,602",
102,Libya,0.950,,2,,0.691,,0.727,,74.8,,69.0,,13.6,,13.2,,7.7,e,7.0,e,"7,163",,"21,364",
103,Belize,0.967,,2,,0.693,,0.716,,73.1,,67.4,,13.0,,12.5,,10.5,,10.5,,"5,360",,"9,402",
104,Samoa,..,,..,,..,,..,,77.0,,70.7,,13.3,,12.5,,..,,..,,"3,444",,"7,182",
105,Maldives,0.937,,3,,0.676,,0.721,,78.0,,76.0,,12.8,k,12.7,k,6.2,"f,k",6.3,"f,k","7,155",,"13,591",
105,Uzbekistan,0.946,,3,,0.672,,0.711,,71.9,,65.1,,11.8,,12.2,,11.8,,12.3,,"3,891",,"7,668",
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
107,Moldova (Republic of),1.010,,1,,0.702,,0.695,,75.9,,67.6,,12.1,,11.6,,12.0,,11.8,,"4,461",,"5,637",
108,Botswana,0.984,,1,,0.693,,0.704,,66.9,,62.2,,12.8,,12.5,,9.2,e,9.5,e,"13,278",,"16,050",
109,Gabon,0.923,,4,,0.669,,0.725,,65.7,,64.1,,12.5,,12.7,,7.3,k,9.0,k,"15,838",,"22,177",
110,Paraguay,0.966,,2,,0.679,,0.703,,75.2,,70.9,,12.6,,12.0,,8.1,,8.2,,"6,138",,"10,165",
111,Egypt,0.884,,5,,0.640,,0.724,,73.6,,69.2,,13.0,,13.2,,6.4,h,7.9,h,"4,750",,"15,267",
111,Turkmenistan,..,,..,,..,,..,,70.0,,61.6,,10.6,,11.0,,..,,..,,"9,359",,"18,856",
113,Indonesia,0.926,,3,,0.660,,0.712,,71.2,,67.0,,12.9,,12.9,,7.4,,8.5,,"6,668",,"13,391",
114,"Palestine, State of",0.867,,5,,0.616,,0.710,,75.1,,71.1,,13.7,,12.1,,8.6,,9.3,,"1,766",,"8,651",
115,Viet Nam,1.010,,1,,0.687,,0.681,,80.6,,71.2,,12.9,,12.5,,7.9,e,8.2,e,"4,834",,"5,846",
116,Philippines,1.001,,1,,0.682,,0.681,,71.9,,65.0,,12.1,,11.4,,9.5,f,9.2,f,"6,845",,"9,917",
117,El Salvador,0.958,,2,,0.663,,0.691,,77.7,,68.6,,13.0,,13.3,,6.2,,6.9,,"5,386",,"10,385",
118,Bolivia (Plurinational State of),0.934,,3,,0.650,,0.695,,71.3,,66.3,,13.5,,14.1,,7.6,,8.8,,"4,695",,"7,610",
119,South Africa,0.962,,2,,0.651,,0.677,,59.5,,55.5,,13.6,,12.5,,10.2,,10.5,,"8,795",,"15,489",
120,Kyrgyzstan,0.967,,2,,0.648,,0.671,,74.8,,66.8,,13.3,,12.7,,10.9,e,10.7,e,"2,123",,"4,090",
121,Iraq,0.804,,5,,0.569,,0.708,,71.8,,67.4,,9.7,k,11.5,k,5.4,j,7.8,j,"3,552",,"19,467",
122,Cabo Verde,..,,..,,..,,..,,75.2,,71.6,,13.9,,13.1,,..,,..,,"4,030",,"8,123",
123,Morocco,0.826,,5,,0.579,,0.700,,75.3,,73.3,,11.5,,12.6,,3.8,h,6.4,h,"3,388",,"11,091",
124,Nicaragua,0.961,,2,,0.629,,0.654,,78.2,,72.2,,11.9,,11.4,,6.8,h,6.4,h,"3,150",,"6,389",
125,Guatemala,0.959,,2,,0.624,,0.651,,75.6,,68.5,,10.5,,11.0,,6.3,,6.3,,"5,132",,"9,081",
125,Namibia,0.986,,1,,0.635,,0.644,,67.5,,62.5,,11.8,,11.5,,6.9,h,6.5,h,"7,971",,"11,667",
127,Guyana,0.943,,3,,0.615,,0.652,,68.9,,64.2,,10.5,,10.2,,8.5,e,8.4,e,"4,346",,"9,397",
127,Micronesia (Federated States of),..,,..,,..,,..,,70.3,,68.2,,..,,..,,..,,..,,..,,..,
129,Tajikistan,0.930,,3,,0.604,,0.650,,73.4,,66.3,,10.6,,11.9,,9.6,k,11.2,k,"2,100",,"3,088",
130,Honduras,0.942,,3,,0.600,,0.637,,75.9,,70.9,,11.6,,10.9,,6.2,,6.1,,"2,680",,"6,254",
131,India,0.819,,5,,0.549,,0.671,,69.9,,66.9,,11.9,,11.3,,4.8,e,8.2,e,"2,184",,"8,897",
132,Bhutan,0.900,,5,,0.573,,0.637,,70.1,,69.6,,12.6,,12.4,,2.1,j,4.2,j,"5,657",,"8,308",
133,Timor-Leste,0.858,,5,,0.558,,0.651,,70.4,,66.8,,12.1,,13.7,,3.6,k,5.3,k,"3,124",,"7,549",
134,Vanuatu,..,,..,,..,,..,,74.3,,70.2,,10.4,,11.1,,..,,..,,"2,139",,"3,453",
135,Congo,0.932,,3,,0.568,,0.610,,64.4,,61.4,,11.0,,11.3,,5.5,e,6.7,e,"4,731",,"6,274",
135,Equatorial Guinea,..,,..,,..,,..,,59.4,,56.6,,..,,..,,4.0,k,7.3,k,"17,462",,"25,375",
137,Kiribati,..,,..,,..,,..,,69.5,,63.0,,12.3,,11.5,,..,,..,,..,,..,
138,Lao People's Democratic Republic,0.924,,4,,0.560,,0.607,,68.0,,65.2,,10.4,,11.2,,4.5,j,5.6,j,"4,408",,"5,696",
139,Bangladesh,0.927,,3,,0.556,,0.599,,73.3,,70.7,,10.4,,9.9,,5.0,e,5.6,e,"2,379",,"4,285",
139,Ghana,0.899,,5,,0.545,,0.606,,62.5,,60.5,,11.1,,11.7,,5.8,h,7.9,h,"3,200",,"4,484",
139,Zambia,0.924,,4,,0.555,,0.601,,62.9,,58.8,,12.1,,13.0,,6.4,h,7.4,h,"2,803",,"4,126",
142,Sao Tome and Principe,0.907,,4,,0.542,,0.597,,68.6,,64.5,,12.2,,11.7,,4.7,,5.9,,"2,000",,"4,149",
143,Cambodia,0.892,,5,,0.529,,0.592,,70.8,,66.7,,10.1,,11.7,,3.7,,5.5,,"2,650",,"3,563",
144,Nepal,0.925,,4,,0.538,,0.582,,71.5,,68.6,,12.7,,12.2,,3.2,j,5.0,j,"1,979",,"2,718",
145,Myanmar,..,,..,,..,,..,,68.2,,64.0,,..,,..,,4.9,h,4.9,h,"4,182",,"5,740",
146,Kenya,0.919,,4,,0.531,,0.577,,64.1,,60.3,,10.8,,11.4,,5.7,h,7.0,h,"2,357",,"3,405",
147,Pakistan,0.742,,5,,0.452,,0.610,,67.4,,65.4,,7.4,,8.8,,3.7,,6.5,,"1,498",,"8,376",
,LOW HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
148,Swaziland,0.853,,5,,0.495,,0.580,,48.1,,49.6,,11.0,,11.8,,6.4,j,7.2,j,"5,078",,"10,020",
149,Syrian Arab Republic,0.851,,5,,0.475,,0.558,,76.6,,63.9,,8.9,,9.0,,4.6,,5.6,,835,,"4,007",
150,Angola,..,,..,,..,,..,,54.2,,51.2,,8.7,,14.0,,..,,..,,"5,073",,"7,527",
151,Tanzania (United Republic of),0.937,,3,,0.512,,0.546,,66.9,,64.1,,8.3,,9.3,,5.4,,6.2,,"2,359",,"2,576",
152,Nigeria,0.847,,5,,0.482,,0.569,,53.4,,52.7,,9.2,,10.8,,4.9,k,7.1,k,"4,132",,"6,706",
153,Cameroon,0.853,,5,,0.474,,0.555,,57.1,,54.8,,9.6,,11.3,,4.6,e,7.4,e,"2,340",,"3,448",
154,Papua New Guinea,..,,..,,..,,..,,65.0,,60.7,,..,,..,,3.7,h,5.3,h,"2,362",,"3,047",
154,Zimbabwe,0.927,,3,,0.496,,0.535,,60.7,,57.7,,10.2,,10.5,,7.3,,8.2,,"1,360",,"1,822",
156,Solomon Islands,..,,..,,..,,..,,69.6,,66.7,,9.1,i,10.1,i,..,,..,,"1,061",,"2,045",
157,Mauritania,0.818,,5,,0.454,,0.555,,64.7,,61.7,,8.4,,8.5,,3.3,h,5.4,h,"1,608",,"5,422",
158,Madagascar,0.948,,3,,0.500,,0.527,,67.0,,64.0,,10.2,,10.5,,6.7,,6.1,,"1,091",,"1,549",
159,Rwanda,0.992,,1,,0.491,,0.495,,67.4,,61.8,,11.4,,9.3,,3.3,,4.4,,"1,428",,"1,822",
160,Comoros,0.817,,5,,0.437,,0.535,,65.3,,61.9,,10.9,,11.3,,3.7,,5.6,,715,,"1,945",
160,Lesotho,0.962,,2,,0.485,,0.505,,50.0,,49.9,,11.2,,10.3,,7.0,f,5.3,f,"2,631",,"4,020",
162,Senegal,0.886,,5,,0.464,,0.523,,68.8,,64.9,,9.2,,9.7,,2.1,i,3.6,i,"1,706",,"2,814",
163,Haiti,..,,..,,..,,..,,65.3,,61.0,,..,,..,,3.9,e,6.6,e,"1,370",,"1,950",
163,Uganda,0.878,,5,,0.459,,0.523,,61.1,,57.3,,9.9,,10.1,,4.5,i,6.8,i,"1,266",,"2,075",
165,Sudan,0.839,,5,,0.441,,0.526,,65.3,,62.2,,7.0,,7.4,,3.0,,4.1,,"1,902",,"5,775",
166,Togo,0.841,,5,,0.444,,0.528,,60.9,,59.4,,10.8,,13.1,,3.2,k,6.3,k,"1,116",,"1,412",
167,Benin,0.858,,5,,0.461,,0.538,,61.2,,58.3,,10.5,,13.7,,2.8,e,4.3,e,"1,673",,"2,287",
168,Yemen,0.737,,5,,0.400,,0.543,,65.4,,62.7,,7.6,,10.4,,1.9,e,4.2,e,"1,045",,"3,530",
169,Afghanistan,0.609,,5,,0.348,,0.572,,62.0,,59.5,,8.3,i,13.1,i,1.6,h,5.8,h,511,,"3,148",
170,Malawi,0.921,,4,,0.455,,0.495,,64.8,,62.9,,10.7,,10.8,,3.8,h,5.0,h,972,,"1,175",
171,Côte d'Ivoire,0.814,,5,,0.421,,0.517,,52.8,,51.1,,7.8,,9.8,,3.9,h,6.1,h,"2,136",,"4,155",
172,Djibouti,..,,..,,..,,..,,64.0,,60.7,,5.8,,6.8,,..,,..,,"1,981",,"4,441",
173,Gambia,0.878,,5,,0.425,,0.484,,61.9,,59.1,,8.7,,9.6,,2.6,h,4.2,h,"1,296",,"1,790",
174,Ethiopia,0.842,,5,,0.408,,0.484,,66.6,,62.7,,7.9,,8.8,,1.5,k,3.7,k,"1,161",,"1,886",
175,Mali,0.786,,5,,0.385,,0.491,,58.3,,58.6,,7.5,,9.4,,1.7,,3.0,,"1,349",,"3,071",
176,Congo (Democratic Republic of the),0.832,,5,,0.390,,0.469,,60.5,,57.6,,8.7,,10.0,,4.0,,8.1,,599,,761,
177,Liberia,0.830,,5,,0.387,,0.466,,62.2,,60.2,,9.3,,10.6,,3.1,,6.0,,575,,788,
178,Guinea-Bissau,..,,..,,..,,..,,57.3,,53.7,,..,,..,,..,,..,,"1,139",,"1,603",
179,Eritrea,..,,..,,..,,..,,66.3,,62.0,,4.4,,5.6,,..,,..,,"1,286",,"1,693",
179,Sierra Leone,0.871,,5,,0.392,,0.451,,51.9,,50.8,,9.1,,10.0,,2.6,h,4.2,h,"1,354",,"1,708",
181,Mozambique,0.879,,5,,0.391,,0.444,,56.8,,54.0,,8.6,,9.5,,2.5,k,4.6,k,"1,016",,"1,184",
181,South Sudan,..,,..,,..,,..,,57.1,,55.2,,3.8,,6.3,,4.0,j,5.3,j,..,,..,
183,Guinea,0.784,,5,,0.364,,0.464,,59.7,,58.7,,7.5,,10.1,,1.5,k,3.9,k,848,,"1,267",
184,Burundi,0.919,,4,,0.388,,0.422,,59.2,,55.1,,10.2,,11.1,,2.6,e,3.6,e,632,,752,
185,Burkina Faso,0.874,,5,,0.375,,0.429,,60.3,,57.6,,7.3,,8.1,,1.0,,2.0,,"1,278",,"1,800",
186,Chad,0.765,,5,,0.340,,0.445,,53.0,,50.8,,5.8,,8.8,,1.2,,3.4,,"1,581",,"2,400",
187,Niger,0.732,,5,,0.291,,0.397,,62.9,,61.1,,4.7,,5.9,,1.1,h,2.3,h,481,,"1,292",
188,Central African Republic,0.776,,5,,0.306,,0.395,,53.4,,49.5,,5.8,,8.4,,2.8,j,5.7,j,482,,696,
,OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,..,,..,,73.9,,66.9,,11.5,,12.5,,..,,..,,..,,..,
,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,Nauru,..,,..,,..,,..,,..,,..,,10.2,,9.2,,..,,..,,..,,..,
,San Marino,..,,..,,..,,..,,..,,..,,15.6,,14.6,,..,,..,,..,,..,
,Somalia,..,,..,,..,,..,,57.4,,54.1,,..,,..,,..,,..,,170,,418,
,Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Human development groups,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,0.980,,—,,0.881,,0.898,,82.4,,76.6,,16.7,,16.0,,12.1,,12.2,,"29,234",,"50,284",
,High human development,0.958,,—,,0.728,,0.760,,77.7,,73.4,,14.1,,13.6,,7.8,,8.3,,"10,214",,"17,384",
,Medium human development,0.871,,—,,0.582,,0.668,,70.4,,66.8,,11.5,,11.3,,5.6,,7.8,,"3,314",,"9,131",
,Low human development,0.849,,—,,0.455,,0.536,,60.7,,58.0,,8.5,,10.0,,3.6,,5.6,,"1,950",,"3,365",
,,,,,,,,,,,,,,,,,,,,,,,,,
,Developing countries,0.913,,—,,0.635,,0.695,,71.9,,68.2,,11.8,,11.9,,6.5,,7.9,,"6,053",,"12,390",
,,,,,,,,,,,,,,,,,,,,,,,,,
,Regions,,,,,,,,,,,,,,,,,,,,,,,,
