10,Canada,,35.9,,40.4,,1.0,,1.0,,81.8,,1.9,,..,,5.8,,40.6,,23.5,,23.8,,1.5,,1.6,,,,,,,,,,
10,United States,,321.8,,355.8,,0.9,,0.8,,81.6,,19.7,,213.2,,47.6,,38.0,,28.6,,22.3,,2.0,,1.9,,,,,,,,,,
12,"Hong Kong, China (SAR)",,7.3,,8.0,,0.2,,0.8,,100.0,,0.4,,5.3,,1.1,,43.2,,16.4,,20.6,,1.0,,1.2,,,,,,,,,,
13,New Zealand,,4.5,,5.1,,1.4,,0.7,,86.3,,0.3,,2.9,,0.7,,38.0,,31.1,,22.9,,1.9,,2.1,,,,,,,,,,
14,Sweden,,9.8,,10.8,,0.4,,0.8,,85.8,,0.6,,6.1,,1.9,,41.0,,27.5,,31.8,,1.7,,1.9,,,,,,,,,,
15,Liechtenstein,,0.0,,0.0,,0.9,,0.7,,14.3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,
16,United Kingdom,,64.7,,70.1,,0.5,,0.6,,82.6,,4.1,,41.7,,11.5,,40.0,,27.6,,27.6,,1.7,,1.9,,,,,,,,,,
17,Japan,,126.6,,120.1,,0.2,,-0.1,,93.5,,5.3,,77.0,,33.3,,46.5,,21.1,,43.3,,1.3,,1.4,,,,,,,,,,
18,Korea (Republic of),,50.3,,52.5,,0.6,,0.5,,82.5,,2.3,,36.7,,6.6,,40.6,,19.2,,18.0,,1.2,,1.3,,,,,,,,,,
19,Israel,,8.1,,10.0,,1.9,,1.7,,92.1,,0.8,,4.9,,0.9,,30.3,,45.7,,18.4,,2.9,,3.1,,,,,,,,,,
20,Luxembourg,,0.6,,0.7,,1.0,,2.2,,90.2,,0.0,,0.4,,0.1,,39.2,,23.6,,20.1,,1.7,,1.6,,,,,,,,,,
21,France,,64.4,,68.0,,0.6,,0.5,,79.5,,3.9,,40.2,,12.3,,41.2,,29.6,,30.6,,1.9,,2.0,,,,,,,,,,
22,Belgium,,11.3,,12.0,,0.6,,0.7,,97.9,,0.7,,7.3,,2.1,,41.5,,26.1,,28.1,,1.7,,1.8,,,,,,,,,,
23,Finland,e,5.5,,5.7,,0.3,,0.5, ,84.2, ,0.3, ,3.5, ,1.1, ,42.5, ,25.9, ,32.4, ,1.8, ,1.7, ,,,,,,,,,
24,Austria,,8.5,,8.8,,0.5,,0.4,,66.0,,0.4,,5.7,,1.6,,43.2,,21.2,,28.0,,1.4,,1.5,,,,,,,,,,
25,Slovenia,,2.1,,2.1,,0.1,,0.1,,49.7,,0.1,,1.4,,0.4,,43.1,,22.0,,26.7,,1.2,,1.6,,,,,,,,,,
26,Italy,,59.8,,59.1,,0.5,,0.1,,69.0,,2.6,,38.2,,13.4,,45.9,,21.5,,35.1,,1.3,,1.4,,,,,,,,,,
27,Spain,f,46.1,,45.9,,1.5,,-0.2, ,79.6, ,2.1, ,30.6, ,8.7, ,43.2, ,22.4, ,28.3, ,1.3, ,1.3, ,,,,,,,,,
28,Czech Republic,,10.5,,10.5,,-0.1,,0.1,,73.0,,0.5,,7.1,,1.9,,41.5,,22.5,,27.0,,1.2,,1.5,,,,,,,,,,
29,Greece,,11.0,,10.5,,0.2,,-0.4,,78.0,,0.5,,7.0,,2.3,,43.6,,22.8,,33.4,,1.3,,1.3,,,,,,,,,,
30,Brunei Darussalam,,0.4,,0.5,,1.8,,1.5,,77.2,,0.0,,0.3,,0.0,,30.6,,31.9,,6.1,,2.1,,1.9,,,,,,,,,,
30,Estonia,,1.3,,1.2,,-0.6,,-0.3,,67.5,,0.1,,0.9,,0.2,,41.7,,24.7,,28.8,,1.4,,1.6,,,,,,,,,,
32,Andorra,,0.1,,0.1,,4.3,,-3.6,,85.1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,
33,Cyprus,g,1.2,,1.3,,1.8,,1.1, ,66.9,,0.1, ,0.8, ,0.1, ,35.9, ,23.4, ,18.2, ,1.6, ,1.5, ,,,,,,,,,
33,Malta,,0.4,,0.4,,0.5,,0.3,,95.4,,0.0,,0.3,,0.1,,41.5,,21.8,,29.0,,1.5,,1.4,,,,,,,,,,
33,Qatar,,2.2,,2.8,,6.9,,4.7,,99.2,,0.1,,1.9,,0.0,,30.7,,18.6,,1.4,,3.0,,2.1,,,,,,,,,,
36,Poland,,38.6,,37.2,,0.0,,0.0,,60.5,,2.0,,26.8,,6.0,,39.6,,21.5,,22.3,,1.3,,1.4,,,,,,,,,,
37,Lithuania,,2.9,,2.7,,-0.8,,-1.6,,66.5,,0.2,,1.9,,0.5,,43.1,,21.8,,28.3,,1.3,,1.6,,,,,,,,,,
38,Chile,,17.9,,20.2,,1.2,,1.1,,89.5,,1.2,,12.4,,2.0,,34.4,,29.3,,16.0,,2.0,,1.8,,,,,,,,,,
38,Saudi Arabia,,31.5,,39.1,,2.9,,2.3,,83.1,,3.2,,21.6,,0.9,,28.3,,41.7,,4.2,,3.6,,2.9,,,,,,,,,,
40,Slovakia,,5.4,,5.4,,0.0,,0.1,,53.6,,0.3,,3.9,,0.8,,39.1,,21.3,,19.5,,1.2,,1.4,,,,,,,,,,
41,Portugal,,10.3,,9.8,,0.4,,-0.4,,63.5,,0.4,,6.7,,2.2,,44.0,,21.6,,31.9,,1.5,,1.3,,,,,,,,,,
42,United Arab Emirates,,9.2,,11.0,,7.7,,1.9,,85.5,,0.5,,7.8,,0.1,,33.3,,16.4,,1.3,,2.4,,1.8,,,,,,,,,,
43,Hungary,,9.9,,9.3,,-0.3,,-0.3,,71.2,,0.5,,6.7,,1.8,,41.3,,21.5,,26.3,,1.3,,1.3,,,,,,,,,,
44,Latvia,,2.0,,1.8,,-1.3,,-1.2,,67.4,,0.1,,1.3,,0.4,,42.9,,22.7,,29.5,,1.3,,1.5,,,,,,,,,,
45,Argentina,,43.4,,49.4,,1.1,,1.0,,91.8,,3.7,,27.7,,4.7,,30.8,,39.4,,17.1,,2.5,,2.3,,,,,,,,,,
45,Croatia,,4.2,,4.0,,-0.2,,-0.4,,59.0,,0.2,,2.8,,0.8,,42.8,,22.5,,28.6,,1.4,,1.5,,,,,,,,,,
47,Bahrain,,1.4,,1.6,,5.3,,1.8,,88.8,,0.1,,1.0,,0.0,,30.3,,28.2,,3.2,,2.7,,2.1,,,,,,,,,,
48,Montenegro,,0.6,,0.6,,0.1,,0.1,,64.0,,0.0,,0.4,,0.1,,37.6,,27.6,,20.2,,1.9,,1.7,,,,,,,,,,
49,Russian Federation,,143.5,,138.7,,-0.4,,0.0,,74.0,,9.2,,100.3,,19.2,,38.7,,24.0,,19.1,,1.3,,1.7,,,,,,,,,,
50,Romania,,19.5,,17.6,,-0.7,,-0.8,,54.6,,0.9,,13.1,,3.4,,42.1,,23.1,,25.8,,1.3,,1.5,,,,,,,,,,
51,Kuwait,,3.9,,5.0,,3.2,,4.8,,98.3,,0.3,,2.9,,0.1,,31.0,,29.5,,2.6,,2.6,,2.2,,,,,,,,,,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Belarus,,9.5,,9.0,,-0.6,,0.0,,76.7,,0.6,,6.6,,1.3,,39.6,,23.0,,20.0,,1.3,,1.6,,,,,,,,,,
52,Oman,,4.5,,5.2,,2.3,,8.4,,77.6,,0.4,,3.5,,0.1,,29.0,,26.7,,3.4,,3.2,,2.9,,,,,,,,,,
54,Barbados,,0.3,,0.3,,0.3,,0.3,,31.5,,0.0,,0.2,,0.0,,38.5,,29.1,,21.3,,1.8,,1.8,,,,,,,,,,
54,Uruguay,,3.4,,3.6,,0.0,,0.3,,95.3,,0.2,,2.2,,0.5,,34.9,,33.4,,22.5,,2.2,,2.0,,,,,,,,,,
56,Bulgaria,,7.1,,6.3,,-0.8,,-0.7,,73.9,,0.3,,4.7,,1.4,,43.5,,21.5,,30.4,,1.2,,1.5,,,,,,,,,,
56,Kazakhstan,,17.6,,20.1,,0.7,,1.6,,53.2,,1.9,,11.7,,1.2,,29.3,,40.1,,10.1,,2.0,,2.6,,,,,,,,,,
58,Bahamas,,0.4,,0.4,,2.0,,1.5,,82.9,,0.0,,0.3,,0.0,,32.4,,29.6,,11.7,,1.9,,1.9,,,,,,,,,,
59,Malaysia,h,30.3, ,36.1, ,1.9, ,1.5, ,74.7, ,2.5, ,21.1, ,1.8, ,28.5, ,35.2, ,8.4, ,2.5, ,2.0, ,,,,,,,,,
60,Palau,,0.0,,0.0,,0.8,,0.8,,87.1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,
60,Panama,,3.9,,4.8,,1.8,,1.6,,66.6,,0.4,,2.6,,0.3,,28.7,,41.7,,11.7,,2.6,,2.5,,,,,,,,,,
62,Antigua and Barbuda,,0.1,,0.1,,1.2,,1.0,,23.8,,0.0,,0.1,,0.0,,30.9,,35.2,,10.4,,2.3,,2.1,,,,,,,,,,
63,Seychelles,,0.1,,0.1,,1.8,,0.7,,53.9,,0.0,,0.1,,0.0,,32.6,,33.6,,9.9,,2.2,,2.3,,,,,,,,,,
64,Mauritius,i,1.3,,1.3,,0.6,,0.4,,39.7,,0.1,,0.9,,0.1,,35.2,,27.2,,13.4,,1.9,,1.5,,,,,,,,,,
65,Trinidad and Tobago,,1.4,,1.4,,0.5,,0.5,,8.4,,0.1,,0.9,,0.1,,33.8,,29.8,,13.5,,1.8,,1.8,,,,,,,,,,
66,Costa Rica,,4.8,,5.4,,1.6,,1.1,,76.8,,0.4,,3.3,,0.4,,31.4,,32.4,,12.9,,2.2,,1.9,,,,,,,,,,
66,Serbia,j,8.9, ,8.3, ,-0.6, ,-0.5, ,55.6, ,0.5, ,5.9, ,1.5, ,40.6, ,24.5, ,25.6, ,1.7, ,1.6, ,,,,,,,,,
68,Cuba,,11.4,,11.2,,0.3,,0.1,,77.1,,0.6,,7.9,,1.6,,41.2,,23.4,,20.0,,1.6,,1.6,,,,,,,,,,
69,Iran (Islamic Republic of),,79.1,,88.5,,1.3,,1.3,,73.4,,6.9,,56.4,,4.0,,29.5,,33.1,,7.1,,2.0,,1.7,,,,,,,,,,
70,Georgia,k,4.0, ,3.9, ,-1.2, ,-1.2, ,53.6, ,0.3, ,2.7, ,0.6, ,37.5, ,25.2, ,20.4, ,1.6, ,1.8, ,,,,,,,,,
71,Turkey,,78.7,,87.7,,1.4,,1.7,,73.4,,6.8,,52.5,,5.9,,29.8,,38.4,,11.3,,2.4,,2.1,,,,,,,,,,
71,Venezuela (Bolivarian Republic of),,31.1,,36.7,,1.8,,1.4,,89.0,,3.0,,20.4,,2.0,,27.4,,42.8,,9.5,,2.7,,2.4,,,,,,,,,,
73,Sri Lanka,,20.7,,21.5,,0.8,,0.5,,18.4,,1.6,,13.7,,1.9,,32.3,,37.2,,14.1,,2.3,,2.1,,,,,,,,,,
74,Saint Kitts and Nevis,,0.1,,0.1,,1.5,,1.2,,32.0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,
75,Albania,,2.9,,3.0,,-0.3,,0.0,,57.4,,0.2,,2.0,,0.4,,34.3,,26.9,,18.0,,1.9,,1.8,,,,,,,,,,
76,Lebanon,,5.9,,5.3,,4.2,,6.0,,87.8,,0.5,,4.0,,0.5,,28.5,,35.4,,12.0,,2.0,,1.7,,,,,,,,,,
77,Mexico,,127.0,,148.1,,1.3,,1.4,,79.2,,11.6,,83.7,,8.2,,27.4,,41.9,,9.8,,2.6,,2.3,,,,,,,,,,
78,Azerbaijan,l,9.8, ,10.7, ,1.1, ,1.4, ,54.6, ,0.9, ,7.1, ,0.5, ,30.9, ,30.3, ,7.8, ,2.0, ,2.3, ,,,,,,,,,
79,Brazil,,207.8,,228.7,,1.4,,0.9,,85.7,,15.0,,143.7,,16.3,,31.3,,33.3,,11.3,,2.3,,1.8,,,,,,,,,,
79,Grenada,,0.1,,0.1,,0.3,,0.4,,35.6,,0.0,,0.1,,0.0,,27.2,,39.9,,10.8,,2.4,,2.2,,,,,,,,,,
81,Bosnia and Herzegovina,,3.8,,3.6,,0.2,,-0.1,,39.8,,0.2,,2.7,,0.6,,41.5,,19.0,,21.7,,1.2,,1.3,,,,,,,,,,
82,The former Yugoslav Republic of Macedonia,,2.1,,2.1,,0.3,,0.2,,57.1,,0.1,,1.5,,0.3,,37.5,,24.0,,17.4,,1.6,,1.5,,,,,,,,,,
83,Algeria,,39.7,,48.3,,1.3,,1.9,,70.7,,4.6,,26.0,,2.4,,27.6,,43.6,,9.1,,2.4,,2.9,,,,,,,,,,
84,Armenia,,3.0,,3.0,,-0.4,,0.4,,62.7,,0.2,,2.1,,0.3,,34.6,,26.0,,15.3,,1.7,,1.6,,,,,,,,,,
84,Ukraine,m,44.8, ,40.9, ,-0.8, ,-0.4, ,69.7,,2.5, ,31.3, ,6.9, ,40.3, ,21.4, ,21.9, ,1.1, ,1.5, ,,,,,,,,,
86,Jordan,,7.6,,9.1,,2.2,,3.1,,83.7,,1.0,,4.6,,0.3,,22.5,,58.5,,6.2,,3.9,,3.5,,,,,,,,,,
87,Peru,,31.4,,36.9,,1.3,,1.3,,78.6,,3.0,,20.5,,2.1,,27.5,,42.7,,10.5,,2.8,,2.5,,,,,,,,,,
87,Thailand,,68.0,,68.3,,1.0,,0.4,,50.4,,3.8,,48.8,,7.1,,38.0,,24.7,,14.6,,1.6,,1.5,,,,,,,,,,
89,Ecuador,,16.1,,19.6,,1.7,,1.6,,63.7,,1.6,,10.4,,1.1,,26.6,,45.1,,10.4,,2.9,,2.6,,,,,,,,,,
90,China,,"1,376.0",,"1,415.5",,0.6,,0.5,,55.6,,83.2,,"1,000.0",,131.4,,37.0,,23.5,,13.0,,1.5,,1.6,,,,,,,,,,
91,Fiji,,0.9,,0.9,,0.3,,0.7,,53.7,,0.1,,0.6,,0.1,,27.6,,43.9,,8.9,,3.0,,2.6,,,,,,,,,,
92,Mongolia,,3.0,,3.5,,1.0,,1.7,,72.0,,0.3,,2.0,,0.1,,27.3,,41.7,,6.0,,2.1,,2.7,,,,,,,,,,
92,Saint Lucia,,0.2,,0.2,,1.1,,0.8,,18.5,,0.0,,0.1,,0.0,,31.2,,34.1,,13.3,,2.1,,1.9,,,,,,,,,,
94,Jamaica,,2.8,,2.9,,0.6,,0.4,,54.8,,0.2,,1.9,,0.3,,29.1,,35.0,,13.6,,2.5,,2.1,,,,,,,,,,
95,Colombia,,48.2,,53.2,,1.4,,1.0,,76.4,,3.7,,33.1,,3.4,,30.0,,35.4,,10.2,,2.3,,1.9,,,,,,,,,,
96,Dominica,,0.1,,0.1,,0.2,,0.4,,69.5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,
97,Suriname,,0.5,,0.6,,0.5,,0.9,,66.0,,0.0,,0.4,,0.0,,29.0,,40.4,,10.4,,2.7,,2.4,,,,,,,,,,
97,Tunisia,,11.3,,12.7,,0.8,,1.1,,66.8,,1.0,,7.8,,0.9,,31.2,,33.8,,11.0,,2.0,,2.2,,,,,,,,,,
99,Dominican Republic,,10.5,,12.1,,1.5,,1.2,,79.0,,1.1,,6.7,,0.7,,26.1,,47.3,,10.5,,2.8,,2.5,,,,,,,,,,
99,Saint Vincent and the Grenadines,,0.1,,0.1,,0.2,,0.0,,50.6,,0.0,,0.1,,0.0,,29.8,,36.0,,10.8,,2.2,,2.0,,,,,,,,,,
101,Tonga,,0.1,,0.1,,0.6,,0.4,,23.7,,0.0,,0.1,,0.0,,21.3,,64.1,,10.2,,4.2,,3.8,,,,,,,,,,
102,Libya,,6.3,,7.4,,1.7,,0.0,,78.6,,0.6,,4.1,,0.3,,27.5,,45.5,,6.9,,2.8,,2.5,,,,,,,,,,
103,Belize,,0.4,,0.5,,2.7,,2.2,,44.0,,0.0,,0.2,,0.0,,23.5,,50.9,,5.9,,3.4,,2.6,,,,,,,,,,
104,Samoa,,0.2,,0.2,,0.6,,0.8,,19.1,,0.0,,0.1,,0.0,,21.2,,64.9,,9.1,,4.4,,4.2,,,,,,,,,,
105,Maldives,,0.4,,0.4,,1.7,,1.8,,45.5,,0.0,,0.2,,0.0,,26.4,,40.5,,6.9,,2.6,,2.2,,,,,,,,,,
105,Uzbekistan,,29.9,,34.4,,1.1,,1.5,,36.4,,3.2,,20.0,,1.4,,26.3,,42.7,,7.0,,2.5,,2.5,,,,,,,,,,
,Medium human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Moldova (Republic of),n,4.1, ,3.8, ,-0.2, ,-0.1, ,45.0, ,0.2, ,3.0, ,0.4, ,35.6, ,21.2, ,13.4, ,1.2, ,1.3, ,,,,,,,,,
108,Botswana,,2.3,,2.8,,1.4,,2.0,,57.4,,0.3,,1.5,,0.1,,24.2,,49.7,,5.6,,3.2,,2.9,,,,,,,,,,
109,Gabon,,1.7,,2.3,,2.2,,2.2,,87.2,,0.2,,1.0,,0.1,,21.4,,64.3,,8.8,,4.4,,4.0,,,,,,,,,,
110,Paraguay,,6.6,,7.8,,1.8,,1.3,,59.7,,0.7,,4.2,,0.4,,24.9,,47.2,,9.4,,3.2,,2.6,,,,,,,,,,
111,Egypt,,91.5,,117.1,,1.8,,2.2,,43.1,,12.1,,56.4,,4.8,,24.7,,53.8,,8.5,,3.2,,3.4,,,,,,,,,,
111,Turkmenistan,,5.4,,6.2,,1.1,,1.3,,50.0,,0.5,,3.6,,0.2,,26.4,,41.7,,6.1,,2.8,,2.3,,,,,,,,,,
113,Indonesia,,257.6,,295.5,,1.3,,1.3,,53.7,,24.9,,172.9,,13.3,,28.4,,41.2,,7.7,,2.5,,2.5,,,,,,,,,,
114,"Palestine, State of",o,4.7, ,6.8, ,2.1, ,2.8, ,75.3, ,0.7, ,2.7, ,0.1, ,19.3, ,70.8, ,5.2, ,5.0, ,4.3, ,,,,,,,,,
115,Viet Nam,,93.4,,105.2,,1.0,,1.1,,33.6,,7.7,,65.6,,6.3,,30.4,,32.9,,9.6,,1.9,,2.0,,,,,,,,,,
116,Philippines,,100.7,,123.6,,2.0,,1.6,,44.4,,11.3,,63.9,,4.6,,24.2,,50.3,,7.2,,3.7,,3.0,,,,,,,,,,
117,El Salvador,,6.1,,6.4,,0.5,,0.3,,66.7,,0.5,,4.0,,0.5,,26.7,,41.7,,12.6,,2.6,,2.0,,,,,,,,,,
118,Bolivia (Plurinational State of),,10.7,,13.2,,1.8,,1.6,,68.5,,1.2,,6.6,,0.7,,24.1,,53.1,,10.6,,3.8,,3.0,,,,,,,,,,
119,South Africa,,54.5,,60.0,,1.5,,1.1,,64.8,,5.4,,35.8,,2.7,,25.7,,44.5,,7.7,,2.8,,2.4,,,,,,,,,,
120,Kyrgyzstan,,5.9,,7.1,,0.6,,1.7,,35.7,,0.8,,3.8,,0.3,,25.1,,48.8,,6.6,,2.5,,3.1,,,,,,,,,,
121,Iraq,,36.4,,54.1,,2.7,,3.3,,69.5,,5.7,,20.4,,1.1,,19.3,,73.2,,5.5,,4.7,,4.6,,,,,,,,,,
122,Cabo Verde,,0.5,,0.6,,1.6,,1.2,,65.5,,0.1,,0.3,,0.0,,24.5,,45.1,,7.0,,3.2,,2.4,,,,,,,,,,
123,Morocco,,34.4,,39.8,,1.0,,1.4,,60.2,,3.4,,22.9,,2.1,,28.0,,40.9,,9.3,,2.5,,2.6,,,,,,,,,,
124,Nicaragua,,6.1,,7.0,,1.4,,1.2,,58.8,,0.6,,3.9,,0.3,,25.2,,46.3,,7.8,,2.8,,2.3,,,,,,,,,,
125,Guatemala,,16.3,,21.4,,2.4,,2.1,,51.6,,2.1,,9.6,,0.8,,21.2,,62.6,,8.3,,4.2,,3.3,,,,,,,,,,
125,Namibia,,2.5,,3.3,,1.3,,2.3,,46.7,,0.3,,1.5,,0.1,,21.2,,61.4,,5.9,,3.8,,3.6,,,,,,,,,,
127,Guyana,,0.8,,0.8,,0.0,,0.4,,28.6,,0.1,,0.5,,0.0,,24.7,,43.5,,7.6,,2.9,,2.6,,,,,,,,,,
127,Micronesia (Federated States of),,0.1,,0.1,,-0.2,,0.2,,22.4,,0.0,,0.1,,0.0,,21.5,,55.3,,7.1,,4.1,,3.3,,,,,,,,,,
129,Tajikistan,,8.5,,11.1,,1.9,,2.2,,26.8,,1.2,,5.3,,0.3,,22.5,,56.0,,4.8,,3.7,,3.6,,,,,,,,,,
130,Honduras,,8.1,,9.7,,1.9,,1.5,,54.7,,0.8,,5.1,,0.4,,23.4,,50.1,,7.7,,3.6,,2.5,,,,,,,,,,
131,India,,"1,311.1",,"1,527.7",,1.7,,1.3,,32.7,,123.7,,860.0,,73.6,,26.6,,43.9,,8.6,,3.1,,2.5,,,,,,,,,,
132,Bhutan,,0.8,,0.9,,2.9,,1.5,,38.6,,0.1,,0.5,,0.0,,26.7,,39.5,,7.4,,3.1,,2.1,,,,,,,,,,
133,Timor-Leste,,1.2,,1.6,,3.1,,2.3,,32.8,,0.2,,0.6,,0.1,,18.5,,81.5,,10.7,,7.0,,5.9,,,,,,,,,,
134,Vanuatu,,0.3,,0.4,,2.5,,2.3,,26.1,,0.0,,0.2,,0.0,,22.2,,61.6,,7.1,,4.1,,3.4,,,,,,,,,,
135,Congo,,4.6,,6.8,,2.4,,2.6,,65.4,,0.8,,2.5,,0.2,,18.7,,79.4,,6.8,,5.1,,5.0,,,,,,,,,,
135,Equatorial Guinea,,0.8,,1.2,,3.3,,3.0,,39.9,,0.1,,0.5,,0.0,,20.5,,67.9,,5.0,,5.6,,5.0,,,,,,,,,,
137,Kiribati,,0.1,,0.1,,1.8,,1.8,,44.3,,0.0,,0.1,,0.0,,22.4,,57.0,,6.0,,4.0,,3.8,,,,,,,,,,
138,Lao People's Democratic Republic,,6.8,,8.5,,1.5,,1.7,,38.6,,0.8,,4.2,,0.3,,21.9,,56.6,,6.2,,3.9,,3.1,,,,,,,,,,
139,Bangladesh,,161.0,,186.5,,1.7,,1.2,,34.3,,15.3,,105.6,,8.0,,25.6,,44.9,,7.6,,2.9,,2.2,,,,,,,,,,
139,Ghana,,27.4,,36.9,,2.6,,2.4,,54.0,,4.1,,15.8,,0.9,,20.6,,67.2,,5.9,,4.6,,4.2,,,,,,,,,,
139,Zambia,,16.2,,25.3,,2.6,,3.1,,40.9,,2.9,,8.3,,0.5,,16.9,,89.7,,5.7,,6.1,,5.5,,,,,,,,,,
142,Sao Tome and Principe,,0.2,,0.3,,2.2,,2.2,,65.1,,0.0,,0.1,,0.0,,18.5,,78.5,,5.7,,5.1,,4.7,,,,,,,,,,
143,Cambodia,,15.6,,19.0,,1.8,,1.6,,20.7,,1.8,,10.0,,0.6,,23.9,,49.2,,6.4,,3.4,,2.7,,,,,,,,,,
144,Nepal,,28.5,,33.1,,1.4,,1.2,,18.6,,2.8,,17.6,,1.6,,23.1,,52.9,,9.0,,3.6,,2.3,,,,,,,,,,
145,Myanmar,,53.9,,60.2,,0.9,,0.8,,34.1,,4.6,,36.2,,2.9,,27.9,,41.1,,8.0,,2.9,,2.3,,,,,,,,,,
146,Kenya,,46.1,,65.4,,2.6,,2.7,,25.6,,7.2,,25.5,,1.3,,18.9,,75.8,,5.1,,5.0,,4.4,,,,,,,,,,
147,Pakistan,,188.9,,244.9,,2.1,,2.1,,38.8,,24.7,,114.3,,8.5,,22.5,,57.9,,7.4,,4.2,,3.7,,,,,,,,,,
,Low human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Swaziland,,1.3,,1.5,,0.8,,1.5,,21.3,,0.2,,0.8,,0.0,,20.5,,63.2,,6.1,,4.0,,3.4,,,,,,,,,,
149,Syrian Arab Republic,,18.5,,28.6,,2.1,,-2.3,,57.7,,2.2,,10.9,,0.8,,20.8,,63.1,,6.9,,3.7,,3.0,,,,,,,,,,
150,Angola,,25.0,,39.4,,3.5,,3.3,,44.1,,4.7,,12.5,,0.6,,16.1,,95.2,,4.6,,6.8,,6.2,,,,,,,,,,
151,Tanzania (United Republic of),p,53.5, ,82.9, ,2.8, ,3.2, ,31.6, ,9.4, ,27.6, ,1.7, ,17.3, ,87.6, ,6.2, ,5.7, ,5.2, ,,,,,,,,,
152,Nigeria,,182.2,,262.6,,2.6,,2.7,,47.8,,31.1,,97.1,,5.0,,17.9,,82.6,,5.1,,6.1,,5.7,,,,,,,,,,
153,Cameroon,,23.3,,32.9,,2.6,,2.5,,54.4,,3.7,,12.7,,0.7,,18.5,,78.4,,5.9,,5.5,,4.8,,,,,,,,,,
154,Papua New Guinea,,7.6,,10.1,,2.5,,2.1,,13.0,,1.0,,4.6,,0.2,,21.2,,62.1,,5.0,,4.4,,3.8,,,,,,,,,,
154,Zimbabwe,,15.6,,21.4,,0.8,,2.2,,32.4,,2.5,,8.7,,0.5,,18.9,,75.0,,5.3,,4.0,,4.0,,,,,,,,,,
156,Solomon Islands,,0.6,,0.8,,2.6,,2.1,,22.3,,0.1,,0.3,,0.0,,19.9,,69.1,,5.9,,4.6,,4.1,,,,,,,,,,
157,Mauritania,,4.1,,5.7,,3.0,,2.5,,59.9,,0.6,,2.3,,0.1,,19.8,,70.5,,5.7,,5.3,,4.7,,,,,,,,,,
158,Madagascar,,24.2,,36.0,,3.0,,2.8,,35.1,,3.8,,13.4,,0.7,,18.7,,75.2,,5.1,,5.3,,4.5,,,,,,,,,,
159,Rwanda,,11.6,,15.8,,2.3,,2.4,,28.8,,1.7,,6.5,,0.3,,19.2,,73.1,,5.0,,5.4,,4.1,,,,,,,,,,
